Produit_PK,Produit_ID,EntiteRattachement_FID,BrancheAssurance_FID,Produit_CODE,LibelleCourt_NOM,LibelleLong_NOM,FamilleProduit_NOM,StatutProduit_NOM,TypeOffre_NOM,TNS_FLAG,LoiEvin_FLAG,Produit_DATECRE,Produit_DATEMOD,Produit_DEBUTVAL,Produit_FINVAL
541,aRKfV0000RL8F,qjmjF0000RH07,e,SC_LAUNAY,LAUNAY COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
544,aRKfV0000RIPF,qjmjF0000RH07,d,PC_PLDAUTO,PLD AUTO,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
545,aRKfV0000RMTf,qjmjF0000RH9n,e,SI_FORBE_01,FOREZ BENNES EVIN,FOREZ BENNES EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
546,aRKfV0000ROnz,qjmjF0000RH9n,e,SC_METAL_01,SANTE METAL COLL,SANTE METAL COLLECTIF,collectif,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
547,aRKfV0000RIrH,qjmjF0000RH9n,e,SI_BOOS_01,BOOS EVIN,BOOS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
549,aRKfV0000RHmf,qjmjF0000RH9n,e,SI_AUTOS_03,AUTO SANTE PRO INDI EVIN,AUTO SANTE PRO INDIVIDUEL EVIN,individuel,clôturé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
550,aRKfV0000RMFw,qjmjF0000RH9n,e,SI_BERR1_01,BERREZAI 1 EVIN,BERREZAI 1 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
559,aRKfV0000RNlT,qjmjF0000RH07,e,SC_RENDAL49,RENDAL 49 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
560,aRKfV0000RJP1,qjmjF0000RH07,d,PC_JMJ,JMJ,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
580,aRKfV0000RJyx,qjmjF0000RH07,d,PC_HACQUART,HACQUART,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
581,aRKfV0000RN62,qjmjF0000RH07,d,PC_ROUYER_4,JEAN ROUYER 4 VAL DE LOIRE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
587,aRKfV0000RMW8,qjmjF0000RH07,e,SI_VEHIN_01,VEHICULES IND EVIN,VEHICULES IND EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
588,aRKfV0000RNfc,qjmjF0000RH07,e,SI_LOIRE_01,LOIRE ALLIANCE MOTORS EVIN,LOIRE ALLIANCE MOTORS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
601,aRKfV0000RLN6,qjmjF0000RH07,e,SC_PASSAUTO,PASSION AUTO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
604,aRKfV0000RJon,qjmjF0000RH07,e,SC_ANTAVIA,ANTAVIA COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
605,aRKfV0000RMmM,qjmjF0000RHD1,d,PC_GRUAU_3,PHIGUIDEL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
606,aRKfV0000RIqf,qjmjF0000RH07,e,SI_PAROT_01,PAROT EVIN,PAROT EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
607,aRKfV0000RLA6,qjmjF0000RH9n,e,SI_PARKL_01,PARK LANN EVIN,PARK LANN EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
609,aRKfV0000RIyq,qjmjF0000RH9n,e,SI_PACHA_01,PACHA EVIN,PACHA EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
610,aRKfV0000RPH1,qjmjF0000RHD1,d,PC_GRUAU_4,GRUAU 4,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
619,aRKfV0000ROsf,qjmjF0000RH07,e,SC_BERTRAND,BERTRAND COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
620,aRKfV0000RJrY,qjmjF0000RH07,d,PC_WIETRICH,WIETRICH,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
640,aRKfV0000RKKj,qjmjF0000RH07,e,SC_GAO,GAO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
641,aRKfV0000RK5t,qjmjF0000RH07,d,PC_BREVI,BREVI,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
647,aRKfV0000RNiI,qjmjF0000RH07,e,SI_TRES3_01,TRESSOL 3 EVIN,TRESSOL 3 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
648,aRKfV0000ROOL,qjmjF0000RH07,d,PC_FREY_8,EFF - Ex HESS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
661,aRKfV0000RJRk,qjmjF0000RH07,d,PC_IVECOLVI,IVECO LVI,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
664,aRKfV0000RK8o,qjmjF0000RH07,d,PC_LABARTHE,LABARTHE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
665,aRKfV0000RIc7,qjmjF0000RH07,d,PC_ALD_AUTO,ALD AUTOMOTIVE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
666,aRKfV0000RKqz,qjmjF0000RH07,d,PC_GERBIE_4,DAVID GERBIER 4 GG PYRENEENS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
667,aRKfV0000RO4p,qjmjF0000RH9n,e,SI_IJTNS_01,INDEMNITES JOURNALIERES TNS,INDEMNITES JOURNALIERES TNS,individuel,validé,STANDARD,Oui,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
669,aRKfV0000RLN9,qjmjF0000RH07,e,SC_IPPOLIT1,IPPOLITO 1 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
670,aRKfV0000RM6H,qjmjF0000RHD1,d,PC_CFTC,SFM CFTC,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
679,aRKfV0000RIsj,qjmjF0000RH07,d,PC_AMPLITUD,AMPLITUDE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
680,aRKfV0000RKST,qjmjF0000RH07,d,PC_CLIM,CLIM,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
700,aRKfV0000RKxl,qjmjF0000RH07,d,PC_TUPPIN_2,TUPPIN MARY 2 HOLDING,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
701,aRKfV0000RKHL,qjmjF0000RH07,e,SC_NGNIMOIS,NG NIMOIS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
707,aRKfV0000ROeJ,qjmjF0000RH07,d,PC_CARWES_3,CARWEST Ex-PSA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
708,aRKfV0000RJPJ,qjmjF0000RH07,d,PC_CONTITRA,CONTITRADE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
721,aRKfV0000RKHM,qjmjF0000RH07,e,SC_NGLILLOI,NG LILLOIS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
724,aRKfV0000RM6G,qjmjF0000RHD1,d,PC_CFECGC,SYND FEDERATION CFE CGC METALL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
725,aRKfV0000RKRB,qjmjF0000RH07,e,SC_RIO,RIO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
726,aRKfV0000RL43,qjmjF0000RH07,d,PC_HESS_3,HESS 3 - MILLAUTO REIMS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
727,aRKfV0000RH9n,qjmjF0000RH07,e,SC_PMODEL1,PRODUIT MODELE SANTE COLL 1,PRODUIT MODELE SANTE COLL 1,collectif,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
729,aRKfV0000RIyj,qjmjF0000RH07,e,SI_GEMAU_01,GEMAUTO EVIN,GEMAUTO EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
730,aRKfV0000RMsd,qjmjF0000RH07,d,PC_ASIANMOT,ASIAN MOTORS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
739,aRKfV0000RIyk,qjmjF0000RH07,e,SI_GILLA_01,GILLAC EVIN,GILLAC EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
740,aRKfV0000RMZH,qjmjF0000RH9n,e,SI_AMOLL_01,AMOLLINE EVIN,AMOLLINE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
760,aRKfV0000RLDt,qjmjF0000RH07,e,SC_BLANCFR2,BLANC FRERES 2 COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
761,aRKfV0000RL3j,qjmjF0000RH07,d,PC_HESS_1,HESS 1,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
767,aRKfV0000RIVf,qjmjF0000RH07,d,PC_BOLLORE,BOLLORE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
768,aRKfV0000RJpR,qjmjF0000RH07,e,SC_AUBREE,AUBREE COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
781,aRKfV0000RKUF,qjmjF0000RH07,d,PC_VARAMAN,VARAMANDIERS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
784,aRKfV0000RPHL,qjmjF0000RHD1,d,PC_MAGYAR_3,MAGYAR 3,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
785,aRKfV0000RMTA,qjmjF0000RHD1,d,PC_CAPITAIN,LECAPITAINE INDUSTRI,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
786,aRKfV0000RMFx,qjmjF0000RH9n,e,SI_PIGEO_01,PIGEON EVIN,PIGEON EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
787,aRKfV0000RNfa,qjmjF0000RH9n,e,SI_GRU2_01,GRUAU 2 EVIN,GRUAU 2 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
789,aRKfV0000RNIb,qjmjF0000RH07,d,PC_FREY_2,EMIL FREY FR (LILLE),Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
790,aRKfV0000RKL3,qjmjF0000RH07,e,SC_PACHA,PACHA COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
799,aRKfV0000RJLR,qjmjF0000RH07,e,SI_EMFR_01,EMIL FREY EVIN,EMIL FREY EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
800,aRKfV0000RO25,qjmjF0000RH07,d,PC_GSPGEN,GSP GEN,GSP GEN,collectif,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
820,aRKfV0000RK5I,qjmjF0000RH07,e,SC_LOCARECU,LOCARECUP COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
821,aRKfV0000RLUq,qjmjF0000RH07,d,PC_CARLEASE,CAR LEASE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
827,aRKfV0000RIqn,qjmjF0000RH07,e,SI_LAMIR_01,LAMIRAULT EVIN,LAMIRAULT EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
828,aRKfV0000RLK3,qjmjF0000RH07,e,SC_AKMOTORS,AKM MOTORS  COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
841,aRKfV0000RNVM,qjmjF0000RH07,d,PC_MORETTO2,MORETTO JM AUTO66,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
844,aRKfV0000RPgp,qjmjF0000RHD1,d,PC_KERPRO_3,KERPRO 3,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
845,aRKfV0000RN2J,qjmjF0000RH07,d,PC_AVIGNON,AVIGNON SERVICE AUTOMOBILES,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
846,aRKfV0000RNYZ,qjmjF0000RH07,e,SI_AKMMO_01,AKM MOTORS EVIN,AKM MOTORS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
847,aRKfV0000RPQh,qjmjF0000RH07,d,PC_GGSAUT_4,GGS AUTO 4,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
849,aRKfV0000RPqW,qjmjF0000RH9n,e,SI_BAYI_01,BAYI EX BERREZAI 1 EVIN,BAYI EX BERREZAI 1 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
850,aRKfV0000RO1l,qjmjF0000RH07,e,SI_EMFR_SU,EMIL FREY ACTIF,EMIL FREY ACTIF,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
859,aRKfV0000RJqP,qjmjF0000RH07,d,PC_SITTLER,SITTLER,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
860,aRKfV0000RPtj,qjmjF0000RH07,e,SI_MAUR1_SU,MAURIN 1 ACTIF,MAURIN 1 ACTIF,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
880,aRKfV0000RL9X,qjmjF0000RH07,e,SC_LAMIRAU,LAMIRAULT COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
881,aRKfV0000RJoJ,qjmjF0000RH07,d,PC_FAURE,FAURE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
887,aRKfV0000RKFF,qjmjF0000RH07,e,SC_FFC,FFC COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
888,aRKfV0000RPAt,qjmjF0000RH9n,e,SI_GRU4_01,GRUAU 4 LABBE EVIN,GRUAU 4 LABBE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
901,aRKfV0000ROkv,qjmjF0000RHD1,d,PC_CARRES_3,CAR RESEAU 3,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
904,aRKfV0000RIsP,qjmjF0000RH07,e,SI_ETRO_01,ETOILE ROUGE EVIN,ETOILE ROUGE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
905,aRKfV0000ROxz,qjmjF0000RH07,e,SC_DOURS,DOURS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
906,aRKfV0000RHwB,qjmjF0000RHMh,d,PC_CESA_01,CESA,CESA,collectif,validé,CONVENTIONNEL,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
907,aRKfV0000RQAM,qjmjF0000RH07,e,SI_GAP_01,GAP EX MAURIN 1 EVIN,GAP EX MAURIN 1 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
909,aRKfV0000RIPP,qjmjF0000RH07,d,PC_PSA,PSA RETAIL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
910,aRKfV0000RIlx,qjmjF0000RH07,e,SI_CITRO_01,CITROEN EVIN,CITROEN EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
919,aRKfV0000RK7z,qjmjF0000RH07,d,PC_LORTRUCK,LORTRUCKS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
920,aRKfV0000RJBb,qjmjF0000RH07,e,SC_EGAUTOS,EG AUTOS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
940,aRKfV0000RLdG,qjmjF0000RH9n,e,SI_FARID_01,FARID FRANCE EVIN,FARID FRANCE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
941,aRKfV0000RLAR,qjmjF0000RH07,e,SC_MAGYAR,MAGYAR COLL,Contrat particulier,collectif,clôturé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
947,aRKfV0000RKh9,qjmjF0000RH07,d,PC_LAMSATEC,LAMBERTH SATEC,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
948,aRKfV0000RPOL,qjmjF0000RH07,e,SI_TRES5_01,TRESSOL 5 EX GGPYR EVIN,TRESSOL 5 EX GGPYR EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
961,aRKfV0000RKEI,qjmjF0000RH07,e,SC_DAGUEYS,DAGUEYS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
964,aRKfV0000RKNx,qjmjF0000RH07,d,PC_SAPHIR_3,SAPHIR 3 ESSONNE TRUCKS LOC,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
965,aRKfV0000RPtt,qjmjF0000RH07,e,SI_MAUR2_SU,MAURIN 2 ACTIF,MAURIN 2 ACTIF,individuel,validé,STANDARD,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
966,aRKfV0000RJLb,qjmjF0000RH07,e,SI_EVREU_01,EVREUX EVIN,EVREUX EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
967,aRKfV0000RK66,qjmjF0000RH07,e,SC_SOCOMA,SOCOMA COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
969,aRKfV0000RMW6,qjmjF0000RH07,e,SI_GGESS_01,GRAND GARAGE ESSONNE EVIN,GRAND GARAGE ESSONNE EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
970,aRKfV0000RLAl,qjmjF0000RH07,d,PC_SIMA_3,SIMA 3 SODIVA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
979,aRKfV0000RKyP,qjmjF0000RH07,d,PC_ROUYER_1,JEAN ROUYER 1 - GGE AJONCS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
980,aRKfV0000RJpH,qjmjF0000RH07,e,SC_BACQAUTO,BACQUEYRISSES AUTO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1000,aRKfV0000RNiH,qjmjF0000RH07,e,SI_SYNE3_01,SYNETHIS 3 EVIN,SYNETHIS 3 EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1001,aRKfV0000RM9Z,qjmjF0000RH07,e,SI_NGNIM_01,NG NIMOIS EVIN,NG NIMOIS EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1007,aRKfV0000RN5h,qjmjF0000RH07,d,PC_MBDIFFU,MB DIFFUSION,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1008,aRKfV0000RJp7,qjmjF0000RH07,e,SC_AUTOBESS,AUTO BILAN BESSAC COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1021,aRKfV0000RLN5,qjmjF0000RH07,e,SC_ARAMIS,ARAMIS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1024,aRKfV0000RKUP,qjmjF0000RH07,d,PC_TRUCSOLU,"TRUCKS SOLUTIONS ",Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1025,aRKfV0000RIqJ,qjmjF0000RH9n,e,SI_GTP_01,GT PIECES EVIN,GT PIECES EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1026,aRKfV0000RKcd,qjmjF0000RH07,d,PC_CARWES_1,CARWEST 1 TRUJAS PARIS EST,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1027,aRKfV0000RKFj,qjmjF0000RH07,e,SC_GILLAC,GILLAC COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1029,aRKfV0000ROy9,qjmjF0000RH07,e,SC_ECOVRAC,ECOVRAC COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1030,aRKfV0000RK67,qjmjF0000RH07,e,SC_SOGAP,SOGAP COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1039,aRKfV0000RL6x,qjmjF0000RH07,d,PC_GGSAUT_1,GGS AUTO 1,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1040,aRKfV0000RJz7,qjmjF0000RH07,d,PC_GRIM,GRIM,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1060,aRKfV0000RKLr,qjmjF0000RH07,d,PC_DNC,DNC,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1061,aRKfV0000RMMQ,qjmjF0000RHD1,d,PC_SOGARIS,SOGARIS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1067,aRKfV0000RNld,qjmjF0000RH07,e,SC_LOIRALLI,LOIRE ALLIANCE MOTORS COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1068,aRKfV0000RJul,qjmjF0000RH07,d,PC_ETSSAUVA,ETABLISSEMENT SAUVAGE,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1081,aRKfV0000RM32,qjmjF0000RH9n,e,SI_ARCY_01,ARCY AUTO EVIN,ARCY AUTO EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1084,aRKfV0000RLq8,qjmjF0000RHD1,d,PC_CITEDIA,CITEDIA,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1085,aRKfV0000RJbP,qjmjF0000RH9n,e,SI_IRPA_01,IRP AUTO EVIN,IRP AUTO EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1086,aRKfV0000RL93,qjmjF0000RH07,e,SC_ATGAVARD,LES ATELIERS GAVARD COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1087,aRKfV0000RKzD,qjmjF0000RH07,d,PC_FAURIE_1,FAURIE 1 MOULINS / VICHY,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1089,aRKfV0000RJ5C,qjmjF0000RH07,e,SI_TRESS_01,TRESSOL CHABRIER EVIN,TRESSOL CHABRIER EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1090,aRKfV0000RNvK,qjmjF0000RH07,e,SI_SOFAG_01,SOFAGEST EVIN,SOFAGEST EVIN,individuel,validé,STANDARD,Non,Oui,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1099,aRKfV0000RLgb,qjmjF0000RHD1,d,PC_SMCI,SMCI,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1100,aRKfV0000RK58,qjmjF0000RH07,e,SC_CEDATAUT,CEDAT AUTO COLL,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
1120,aRKfV0000RLUD,qjmjF0000RH07,d,PC_CNPA,MOBILIANS,Contrat particulier,collectif,validé,SUR-MESURE,Non,Non,2023-03-27,2023-03-27,2023-03-27,9999-12-31
